,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ancud,-41.87,-73.82,37.99,73,20,4.68,CL,1595823390
1,New Norfolk,-42.78,147.06,55.99,72,100,1.99,AU,1595823507
2,Kontagora,10.4,5.47,71.47,96,92,6.42,NG,1595823507
3,Bluff,-46.6,168.33,50.86,71,0,4.5,NZ,1595823224
4,Avarua,-21.21,-159.78,69.8,94,66,4.7,CK,1595823292
5,Albany,42.6,-73.97,78.01,96,93,4.45,US,1595823508
6,Mataura,-46.19,168.86,49.77,68,0,2.19,NZ,1595823297
7,Rikitea,-23.12,-134.97,70.5,78,4,19.6,PF,1595823228
8,Ushuaia,-54.8,-68.3,33.8,86,75,17.22,AR,1595823275
9,Hilo,19.73,-155.09,82.4,69,90,9.17,US,1595823509
10,Labuhan,-6.88,112.21,83.75,56,80,5.32,ID,1595823509
11,Jamestown,42.1,-79.24,71.6,83,1,5.82,US,1595823235
12,Barrow,71.29,-156.79,51.8,87,90,26.4,US,1595823509
13,Karratha,-20.74,116.85,77.13,20,52,16.04,AU,1595823509
14,Hithadhoo,-0.6,73.08,82.83,68,100,4.68,MV,1595823510
15,Port Alfred,-33.59,26.89,54.23,69,80,4.88,ZA,1595823510
16,Cedar City,37.68,-113.06,80.6,24,1,3.36,US,1595823510
17,Butaritari,3.07,172.79,82.31,79,34,12.33,KI,1595823307
18,Busselton,-33.65,115.33,69.01,74,93,10.0,AU,1595823244
19,Hermanus,-34.42,19.23,46.0,85,1,1.99,ZA,1595823219
20,Xuzhou,34.18,117.16,82.27,63,81,8.37,CN,1595823511
21,Qinzhou,21.95,108.62,93.31,60,100,15.77,CN,1595823444
22,Sitka,57.05,-135.33,55.4,87,90,3.36,US,1595823285
23,Cape Town,-33.93,18.42,52.0,93,0,3.36,ZA,1595823241
24,Remedios,22.49,-79.55,78.8,94,20,2.24,CU,1595823512
25,Houma,29.6,-90.72,75.99,100,40,3.36,US,1595823469
26,Isangel,-19.55,169.27,80.6,69,8,10.29,VU,1595823512
27,Tiksi,71.69,128.87,37.94,91,100,7.83,RU,1595823225
28,Prainha,-1.8,-53.48,76.51,73,33,0.92,BR,1595823513
29,Haines Junction,60.75,-137.51,51.22,65,65,10.2,CA,1595823278
30,Provideniya,64.38,-173.3,50.0,87,90,17.9,RU,1595823513
31,Hofn,64.25,-15.21,47.44,63,100,13.22,IS,1595823514
32,East London,-33.02,27.91,55.4,66,40,8.05,ZA,1595823224
33,Pułtusk,52.7,21.08,66.99,45,98,4.72,PL,1595823514
34,Yellowknife,62.46,-114.35,66.99,59,75,6.93,CA,1595823334
35,Ayorou,14.73,0.92,86.61,53,1,10.63,NE,1595823514
36,Kindu,-2.95,25.95,66.0,58,0,0.96,CD,1595823514
37,Pangnirtung,66.15,-65.71,51.49,70,100,2.57,CA,1595823515
38,Saskylakh,71.92,114.08,40.53,91,100,14.94,RU,1595823515
39,Kandrian,-6.22,149.55,84.47,69,47,10.0,PG,1595823515
40,Thompson,55.74,-97.86,60.8,93,75,6.8,CA,1595823328
41,Tura,25.52,90.22,86.77,71,86,4.0,IN,1595823427
42,Cherskiy,68.75,161.3,51.03,71,56,25.86,RU,1595823516
43,Salta,-24.79,-65.41,37.4,74,0,3.36,AR,1595823516
44,Ponta Delgada,37.73,-25.67,69.8,94,75,4.7,PT,1595823516
45,Sinnamary,5.38,-52.95,78.28,86,54,8.32,GF,1595823516
46,Nuuk,64.18,-51.72,46.4,93,100,3.36,GL,1595823516
47,George Town,5.41,100.34,87.8,70,20,8.05,MY,1595823512
48,Qaanaaq,77.48,-69.36,39.99,71,0,0.54,GL,1595823232
49,Korčula,42.96,17.14,62.6,93,1,2.24,HR,1595823517
50,Alta Floresta,-9.88,-56.09,69.87,52,0,3.91,BR,1595823517
51,Casteltermini,37.54,13.64,71.01,47,0,1.99,IT,1595823517
52,Khatanga,71.97,102.5,48.2,59,99,11.01,RU,1595823517
53,Margate,51.38,1.39,63.0,88,100,3.0,GB,1595823518
54,Lompoc,34.64,-120.46,60.8,82,0,11.41,US,1595823518
55,Tadó,5.27,-76.56,73.71,94,78,1.88,CO,1595823518
56,Bredasdorp,-34.53,20.04,35.6,93,0,4.5,ZA,1595823219
57,Tsabong,-26.02,22.4,45.64,54,0,8.95,BW,1595823519
58,Lorengau,-2.02,147.27,83.62,77,44,5.7,PG,1595823519
59,Castro,-24.79,-50.01,54.21,93,100,3.18,BR,1595823238
60,Bambous Virieux,-20.34,57.76,72.0,73,75,14.99,MU,1595823446
61,Lavaca,28.61,-96.63,84.2,89,75,11.41,US,1595823519
62,Alto Araguaia,-17.31,-53.22,63.77,50,0,2.89,BR,1595823520
63,Lashio,22.93,97.75,80.71,80,96,0.54,MM,1595823520
64,Chui,-33.7,-53.46,46.29,92,2,7.11,UY,1595823243
65,Zhigansk,66.77,123.37,55.11,58,60,11.39,RU,1595823388
66,Maceió,-9.67,-35.74,68.0,94,20,2.24,BR,1595823466
67,Eyl,7.98,49.82,81.14,62,1,21.72,SO,1595823521
68,Kavieng,-2.57,150.8,84.45,69,100,4.92,PG,1595823521
